ride_id,seat_number,payment_method,payment_receipt,travel_date,travel_time,travel_from,travel_to,car_type,max_capacity
5856,4,Mpesa,JHUARA4DCU,2018-04-15,5:20,Kisii,Nairobi,shuttle,11
5856,2,Mpesa,BQC7OR8YQH,2018-04-15,5:20,Kisii,Nairobi,shuttle,11
5856,5,Mpesa,1E0LUSKZZD,2018-04-15,5:20,Kisii,Nairobi,shuttle,11
5856,1,Mpesa,HC3WRJ7YPC,2018-04-15,5:20,Kisii,Nairobi,shuttle,11
5856,1X,Mpesa,VL4JOV8ZVG,2018-04-15,5:20,Kisii,Nairobi,shuttle,11
5858,9,Mpesa,TX9HQM42BV,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,10,Mpesa,FJG8PZMF8Z,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,7,Mpesa,XQKNWDVTBL,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,6,Mpesa,ZK76GP2JKC,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,4,Mpesa,7CAAEOXNRO,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,3,Mpesa,S91PUU4SFS,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,8,Mpesa,WRZXUIJLQM,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,5,Mpesa,VULZ7USMIY,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,2,Mpesa,DAHFGN2PAB,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,1,Mpesa,CHL1S7GEXH,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5858,1X,Mpesa,UJMIWBV20N,2018-04-15,5:10,Kisii,Nairobi,shuttle,11
5781,23A,Mpesa,ARRAMGNNSO,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5778,17A,Mpesa,KHYNXYC6R6,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,18A,Mpesa,JWDOI1QS3N,2017-11-27,7:12,Migori,Nairobi,Bus,49
5861,3A,Mpesa,7BMTKUMKJZ,2018-04-15,19:04,Kisii,Nairobi,Bus,49
5862,2A,Mpesa,FW5354YBDV,2018-04-15,7:04,Kisii,Nairobi,Bus,49
5863,1,Mpesa,70ES1TBOFX,2018-04-15,6:40,Kisii,Nairobi,shuttle,11
5864,1,Mpesa,0SL08EXGA3,2018-04-15,5:30,Kisii,Nairobi,shuttle,11
5778,18B,Mpesa,PAQWDAB3P4,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,17B,Mpesa,CH37TFO0Q4,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,16B,Mpesa,0OSWJ6JM8N,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,15B,Mpesa,MHAE4FQEIR,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,7B,Mpesa,5BMZTIAZL5,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,6B,Mpesa,X8MVFXTK9Z,2017-11-27,7:12,Migori,Nairobi,Bus,49
5778,5B,Mpesa,MVQQCYAQRH,2017-11-27,7:12,Migori,Nairobi,Bus,49
5867,4,Mpesa,HP81LMQIVN,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5867,3,Mpesa,WMI3UCSF5F,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5778,2B,Mpesa,IHJCLFMAAA,2017-11-27,7:12,Migori,Nairobi,Bus,49
5867,2,Mpesa,TFIOFUTGH0,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5778,1B,Mpesa,Z8PIH87JXM,2017-11-27,7:12,Migori,Nairobi,Bus,49
5867,5,Mpesa,4XSSAZ4APQ,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5778,3B,Mpesa,YEZRQVPNZB,2017-11-27,7:12,Migori,Nairobi,Bus,49
5867,8,Mpesa,I0T8WX9KB6,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5868,6,Mpesa,CSE2PLGV5N,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5868,5,Mpesa,WGJMPCL5SG,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5778,4B,Mpesa,QGLFA2ZT4B,2017-11-27,7:12,Migori,Nairobi,Bus,49
5867,9,Mpesa,GQ07QMW0DT,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5867,10,Mpesa,T9GDSJGUAU,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5867,1X,Mpesa,ZQ8DREUJKA,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5867,1,Mpesa,DHH6PE4YTT,2018-04-14,5:10,Kisii,Nairobi,shuttle,11
5868,2,Mpesa,9JROKROI2H,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5868,3,Mpesa,ZDGTW4ING4,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5868,1,Mpesa,SAD67QHRKV,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5778,24A,Mpesa,K6U8RH1KYC,2017-11-27,7:12,Migori,Nairobi,Bus,49
5781,15B,Mpesa,XWK3QBQBXU,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5868,1X,Mpesa,OMKHFVAGHD,2018-04-14,5:20,Kisii,Nairobi,shuttle,11
5778,19B,Mpesa,BGVHH54WNQ,2017-11-27,7:12,Migori,Nairobi,Bus,49
5873,1A,Mpesa,W92S2NVPQX,2018-04-14,6:59,Kisii,Nairobi,Bus,49
5874,5A,Mpesa,9ECBPF9PPG,2018-04-14,7:06,Kisii,Nairobi,Bus,49
5874,1B,Mpesa,GKTKCRRRWJ,2018-04-14,7:06,Kisii,Nairobi,Bus,49
5874,6A,Mpesa,PKRHNVMBKY,2018-04-14,7:06,Kisii,Nairobi,Bus,49
5874,3A,Mpesa,LX0FGMB0PT,2018-04-14,7:06,Kisii,Nairobi,Bus,49
5875,21A,Mpesa,OV7DABVZIC,2017-11-27,7:08,Migori,Nairobi,Bus,49
5876,1,Mpesa,WSILW96OKQ,2018-04-14,5:40,Kisii,Nairobi,shuttle,11
5874,4A,Mpesa,6HLYOFVQZS,2018-04-14,7:06,Kisii,Nairobi,Bus,49
5878,2,Mpesa,YOKF8HFZ8H,2018-04-14,5:30,Kisii,Nairobi,shuttle,11
5878,1,Mpesa,ZN7ROZZ3PA,2018-04-14,5:30,Kisii,Nairobi,shuttle,11
5880,2,Mpesa,I9NJURZ9HK,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5778,20A,Mpesa,VHHFKB3YUF,2017-11-27,7:12,Migori,Nairobi,Bus,49
5881,1,Cash,MDD3SYE9ZX,2018-04-13,5:00,Kisii,Nairobi,shuttle,11
5882,5,Mpesa,QF48YIAWY9,2018-04-13,5:10,Kisii,Nairobi,shuttle,11
5882,2,Mpesa,8GSKODCNPW,2018-04-13,5:10,Kisii,Nairobi,shuttle,11
5882,1X,Mpesa,TAWU3C27UJ,2018-04-13,5:10,Kisii,Nairobi,shuttle,11
5882,1,Mpesa,VNO55Z5VD4,2018-04-13,5:10,Kisii,Nairobi,shuttle,11
5880,6,Mpesa,QSUPMGM8AH,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,5,Mpesa,HTI8FF0VZX,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,7,Mpesa,CXVTSYIMWV,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,8,Mpesa,NHTNPKRM8F,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,9,Mpesa,6T9O0QGVDY,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,10,Mpesa,ERTVL2QIJ7,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,3,Mpesa,AEBVOAY8RJ,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5875,22B,Mpesa,LFF0SXSUNL,2017-11-27,7:08,Migori,Nairobi,Bus,49
5880,4,Mpesa,IJQEHP6IID,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5880,1X,Mpesa,ZAJUJ2676G,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5875,23B,Mpesa,MSPG2YWEHJ,2017-11-27,7:08,Migori,Nairobi,Bus,49
5880,1,Mpesa,FFTMV3TZOA,2018-04-13,5:20,Kisii,Nairobi,shuttle,11
5886,1,Mpesa,TWD1UEABRP,2018-04-13,9:00,Kisii,Nairobi,shuttle,11
5887,25,Mpesa,ZMVMQS9IRR,2018-04-13,7:06,Kisii,Nairobi,Bus,49
5888,1B,Mpesa,CWX8XAANLN,2018-04-13,7:14,Kisii,Nairobi,Bus,49
5889,2B,Mpesa,HV1OG3HXH0,2018-04-13,7:07,Kisii,Nairobi,Bus,49
5890,1,Mpesa,EGEDWSDK3P,2018-04-13,5:30,Kisii,Nairobi,shuttle,11
5781,16B,Mpesa,FQNLNXBVPK,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5781,13A,Mpesa,3WFOTCSMD6,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5778,20B,Mpesa,ME8DQMDBN3,2017-11-27,7:12,Migori,Nairobi,Bus,49
5894,10,Cash,MDC9SIS8VL,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,7,Mpesa,TCKMMO0VLG,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,9,Mpesa,LNBWBMN1IW,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,8,Mpesa,T056RFCTRU,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,6,Mpesa,MAMU2VXF0P,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,5,Mpesa,TYLXD52R23,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,4,Mpesa,MRJXM5SQM3,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,3,Mpesa,BYMSB9WQCT,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,2,Mpesa,4AX1YBAVWS,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5894,1X,Mpesa,ZEYF6J3NSG,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5897,10,Mpesa,DBYDLX59CD,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,9,Mpesa,8POCGGHLRZ,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,7,Mpesa,LGXAITPANF,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5778,19A,Mpesa,UA2BFZWHA9,2017-11-27,7:12,Migori,Nairobi,Bus,49
5897,6,Mpesa,KGQGHA60JW,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,8,Mpesa,SPW54WSUQU,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,5,Mpesa,ADBTGJCGZS,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,2,Mpesa,I6QKUHIITD,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5894,1,Cash,MDC6SH3530,2018-04-12,5:00,Kisii,Nairobi,shuttle,11
5781,8A,Mpesa,AZEB2YJ0RL,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5897,3,Mpesa,RYTNL4CH5N,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5897,4,Mpesa,ISQ7FPWDWN,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5898,4,Mpesa,KJQNAS4NML,2017-11-27,6:30,Keroka,Nairobi,shuttle,11
5899,1,Mpesa,QPUZIDTGUX,2017-11-27,6:30,Keumbu,Nairobi,shuttle,11
5901,9B,Mpesa,0X4ZWB1NY5,2017-11-27,7:15,Migori,Nairobi,Bus,49
5901,12B,Mpesa,YAYVBONGSC,2017-11-27,7:15,Migori,Nairobi,Bus,49
5901,10B,Mpesa,B4JUX1258X,2017-11-27,7:15,Migori,Nairobi,Bus,49
5902,4A,Mpesa,ITGQSZF0XP,2017-11-27,7:04,Homa Bay,Nairobi,Bus,49
5901,7A,Mpesa,Y7VENWWWHW,2017-11-27,7:15,Migori,Nairobi,Bus,49
5901,6B,Mpesa,XVP9WMTI2K,2017-11-27,7:15,Migori,Nairobi,Bus,49
5902,16A,Mpesa,Z8TKILX9UQ,2017-11-27,7:04,Homa Bay,Nairobi,Bus,49
5902,10A,Mpesa,LOCEIJSI0Q,2017-11-27,7:04,Homa Bay,Nairobi,Bus,49
5897,1,Mpesa,7YIQRKTIPM,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5901,18A,Mpesa,BS4EKXVCWY,2017-11-27,7:15,Migori,Nairobi,Bus,49
5901,17A,Mpesa,ME41ONM0WU,2017-11-27,7:15,Migori,Nairobi,Bus,49
5901,15A,Mpesa,JSJYUQOEPE,2017-11-27,7:15,Migori,Nairobi,Bus,49
5902,15A,Mpesa,QRLWHBA0VZ,2017-11-27,7:04,Homa Bay,Nairobi,Bus,49
5901,14A,Mpesa,IINOWFO8BM,2017-11-27,7:15,Migori,Nairobi,Bus,49
5781,5B,Mpesa,AT7EENPSPO,2017-11-27,7:09,Homa Bay,Nairobi,Bus,49
5901,6A,Mpesa,HFKFOYNRMC,2017-11-27,7:15,Migori,Nairobi,Bus,49
5902,19A,Mpesa,OZHTNQKCCN,2017-11-27,7:04,Homa Bay,Nairobi,Bus,49
5778,10A,Mpesa,RTMY3RVXQX,2017-11-27,7:12,Migori,Nairobi,Bus,49
5901,13A,Mpesa,ZIDCZYKAV6,2017-11-27,7:15,Migori,Nairobi,Bus,49
5778,8B,Mpesa,YPEIMHRL9L,2017-11-27,7:12,Migori,Nairobi,Bus,49
5897,1X,Mpesa,RKOPKXWY4I,2018-04-12,5:20,Kisii,Nairobi,shuttle,11
5910,3,Mpesa,GZAUYLAENX,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,2,Mpesa,PFSMVQ20KB,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,4,Mpesa,MTFK0QBF5I,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,7,Mpesa,FUDES7HRXR,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,6,Mpesa,J2PCBTBOND,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,5,Mpesa,DMVLKHL0LX,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,8,Mpesa,HQVC4YHBKI,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,9,Mpesa,Q9WBJFECGV,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,10,Mpesa,TXRDGVGLZJ,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,1,Mpesa,TT47PEWW1W,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5910,1X,Mpesa,3CNREFAJYP,2018-04-12,5:10,Kisii,Nairobi,shuttle,11
5918,1B,Mpesa,NGPMEZVQ8Y,2018-04-12,7:08,Kisii,Nairobi,Bus,49
5919,1B,Mpesa,FCTQMH95YF,2018-04-12,8:00,Kisii,Nairobi,Bus,49
5920,1B,Mpesa,8F0VILKFQM,2018-04-12,7:06,Kisii,Nairobi,Bus,49
5921,5A,Mpesa,F5NDN2QVPN,2018-04-12,7:14,Kisii,Nairobi,Bus,49
5922,1,Mpesa,OFGCAPAA2I,2018-04-12,9:50,Kisii,Nairobi,shuttle,11
5923,1,Mpesa,IYIZO789VY,2018-04-12,7:30,Kisii,Nairobi,shuttle,11
